# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
 7838.715121 |   0)  compact-3316  | + 12.760 us   |  } /* __alloc_pages_nodemask */
 7838.719130 |   0)  compact-3316  | + 21.350 us   |  } /* __alloc_pages_nodemask */
 7838.735122 |   0)  compact-3316  | + 13.331 us   |  } /* __alloc_pages_nodemask */
 7838.739141 |   0)  compact-3316  | + 32.173 us   |  } /* __alloc_pages_nodemask */
 7838.746781 |   0)  compact-3316  | + 58.820 us   |      } /* shrink_zone */
 7838.746798 |   0)  compact-3316  | + 10.793 us   |          } /* shrink_inactive_list */
 7838.746799 |   0)  compact-3316  | + 11.551 us   |        } /* shrink_zone_memcg */
 7838.746810 |   0)  compact-3316  | + 22.462 us   |      } /* shrink_zone */
 7838.746829 |   0)  compact-3316  | + 13.720 us   |      } /* shrink_zone */
 7838.746851 |   0)  compact-3316  | + 15.981 us   |      } /* shrink_zone */
 7838.746883 |   0)  compact-3316  | + 13.536 us   |          } /* shrink_inactive_list */
 7838.746883 |   0)  compact-3316  | + 14.268 us   |        } /* shrink_zone_memcg */
 7838.746893 |   0)  compact-3316  | + 24.462 us   |      } /* shrink_zone */
 7838.746907 |   0)  compact-3316  | + 12.851 us   |          } /* shrink_inactive_list */
 7838.746908 |   0)  compact-3316  | + 13.907 us   |        } /* shrink_zone_memcg */
 7838.746908 |   0)  compact-3316  | + 14.415 us   |      } /* shrink_zone */
 7838.746954 |   0)  compact-3316  | + 40.111 us   |          } /* shrink_inactive_list */
 7838.746958 |   0)  compact-3316  | + 44.316 us   |        } /* shrink_zone_memcg */
 7838.746969 |   0)  compact-3316  | + 55.472 us   |      } /* shrink_zone */
 7838.746988 |   0)  compact-3316  | + 18.201 us   |          } /* shrink_inactive_list */
 7838.747026 |   0)  compact-3316  | + 36.948 us   |          } /* shrink_inactive_list */
 7838.747026 |   0)  compact-3316  | + 56.229 us   |        } /* shrink_zone_memcg */
 7838.747027 |   0)  compact-3316  | + 56.786 us   |      } /* shrink_zone */
 7838.747056 |   0)  compact-3316  | + 24.562 us   |          } /* shrink_inactive_list */
 7838.747077 |   0)  compact-3316  | + 20.090 us   |          } /* shrink_inactive_list */
 7838.747085 |   0)  compact-3316  | + 53.388 us   |        } /* shrink_zone_memcg */
 7838.747096 |   0)  compact-3316  | + 64.459 us   |      } /* shrink_zone */
 7838.747163 |   0)  compact-3316  | + 66.125 us   |          } /* shrink_inactive_list */
 7838.747191 |   0)  compact-3316  | + 27.001 us   |          } /* shrink_inactive_list */
 7838.747226 |   0)  compact-3316  | + 35.311 us   |          } /* shrink_inactive_list */
 7838.747227 |   0)  compact-3316  | ! 130.121 us  |        } /* shrink_zone_memcg */
 7838.747227 |   0)  compact-3316  | ! 130.778 us  |      } /* shrink_zone */
 7838.747229 |   0)  compact-3316  | ! 507.906 us  |    } /* do_try_to_free_pages */
 7838.747230 |   0)  compact-3316  | ! 511.829 us  |  } /* __alloc_pages_nodemask */
 7838.747380 |   0)  compact-3316  | + 15.110 us   |      } /* shrink_zone */
 7838.747394 |   0)  compact-3316  | + 10.411 us   |      } /* shrink_zone */
 7838.747420 |   0)  compact-3316  | + 21.899 us   |          } /* shrink_inactive_list */
 7838.747420 |   0)  compact-3316  | + 22.430 us   |        } /* shrink_zone_memcg */
 7838.747431 |   0)  compact-3316  | + 32.846 us   |      } /* shrink_zone */
 7838.747487 |   0)  compact-3316  | + 49.759 us   |          } /* shrink_inactive_list */
 7838.747587 |   0)  compact-3316  | ! 100.082 us  |          } /* shrink_active_list */
 7838.747587 |   0)  compact-3316  | ! 150.914 us  |        } /* shrink_zone_memcg */
 7838.747599 |   0)  compact-3316  | ! 162.436 us  |      } /* shrink_zone */
 7838.747708 |   0)  compact-3316  | + 99.263 us   |          } /* shrink_inactive_list */
 7838.747920 |   0)  compact-3316  | ! 211.336 us  |          } /* shrink_active_list */
 7838.747920 |   0)  compact-3316  | ! 311.622 us  |        } /* shrink_zone_memcg */
 7838.747933 |   0)  compact-3316  | ! 323.933 us  |      } /* shrink_zone */
 7838.747952 |   0)  compact-3316  | + 18.587 us   |          } /* shrink_inactive_list */
 7838.747953 |   0)  compact-3316  | + 19.314 us   |        } /* shrink_zone_memcg */
 7838.747953 |   0)  compact-3316  | + 19.765 us   |      } /* shrink_zone */
 7838.748047 |   0)  compact-3316  | + 91.307 us   |          } /* shrink_inactive_list */
 7838.748173 |   0)  compact-3316  | ! 125.279 us  |          } /* shrink_active_list */
 7838.748174 |   0)  compact-3316  | ! 218.779 us  |        } /* shrink_zone_memcg */
 7838.748189 |   0)  compact-3316  | ! 233.056 us  |      } /* shrink_zone */
 7838.748221 |   0)  compact-3316  | + 30.803 us   |          } /* shrink_inactive_list */
 7838.748237 |   0)  compact-3316  | + 16.386 us   |          } /* shrink_inactive_list */
 7838.748238 |   0)  compact-3316  | + 48.403 us   |        } /* shrink_zone_memcg */
 7838.748238 |   0)  compact-3316  | + 48.966 us   |      } /* shrink_zone */
 7838.748240 |   0)  compact-3316  | ! 875.444 us  |    } /* do_try_to_free_pages */
 7838.748241 |   0)  compact-3316  | ! 877.558 us  |  } /* __alloc_pages_nodemask */
 7838.748998 |   0)  compact-3316  | + 28.157 us   |      } /* shrink_zone */
 7838.749020 |   0)  compact-3316  | + 17.341 us   |      } /* shrink_zone */
 7838.749038 |   0)  compact-3316  | + 11.726 us   |          } /* shrink_inactive_list */
 7838.749039 |   0)  compact-3316  | + 13.281 us   |        } /* shrink_zone_memcg */
 7838.749049 |   0)  compact-3316  | + 23.044 us   |      } /* shrink_zone */
 7838.749116 |   0)  compact-3316  | + 59.430 us   |          } /* shrink_inactive_list */
 7838.749118 |   0)  compact-3316  | + 61.798 us   |        } /* shrink_zone_memcg */
 7838.749129 |   0)  compact-3316  | + 72.568 us   |      } /* shrink_zone */
 7838.749208 |   0)  compact-3316  | + 66.795 us   |          } /* shrink_inactive_list */
 7838.749212 |   0)  compact-3316  | + 70.913 us   |        } /* shrink_zone_memcg */
 7838.749222 |   0)  compact-3316  | + 81.511 us   |      } /* shrink_zone */
 7838.749238 |   0)  compact-3316  | + 14.613 us   |          } /* shrink_inactive_list */
 7838.749246 |   0)  compact-3316  | + 22.591 us   |        } /* shrink_zone_memcg */
 7838.749246 |   0)  compact-3316  | + 23.066 us   |      } /* shrink_zone */
 7838.749393 |   0)  compact-3316  | ! 144.092 us  |          } /* shrink_inactive_list */
 7838.749400 |   0)  compact-3316  | ! 151.723 us  |        } /* shrink_zone_memcg */
 7838.749411 |   0)  compact-3316  | ! 162.205 us  |      } /* shrink_zone */
 7838.749428 |   0)  compact-3316  | + 16.896 us   |          } /* shrink_inactive_list */
 7838.749452 |   0)  compact-3316  | + 22.834 us   |          } /* shrink_active_list */
 7838.749470 |   0)  compact-3316  | + 10.646 us   |          } /* shrink_active_list */
 7838.749470 |   0)  compact-3316  | + 58.982 us   |        } /* shrink_zone_memcg */
